ID,Player,Top 7 Leagues,Goals per 90,xG per 90,Shots on target per 90,Shots on target %,Passes completed,Pass accuracy %,Possession %,Positional attacks per 90,Counter attacks per 90,Touches in the box per 90,Goals conceded per 90,SoT against per 90,Defensive duels per 90,Defensive duel %,Aerial duels per 90,Aerial duels %,Passes per possession,PPDA
105,RKC Waalwijk,Eredivisie,1.14,1.5,4.03,36.25,298.8,80.35,46.06,26.6,2.26,14.89,1.69,6.26,71,62.78,34,48.91,3.64,13.98
106,Roma,Serie A,1.67,1.44,4,34.89,420.69,86.7,52.89,26.39,1.67,18.19,1.11,4.17,66.19,60.6,30.8,48.29,5.11,12.7
107,Salernitana,Serie A,0.93,0.9,3.15,32.41,312.93,82.61,45.04,22.88,1.66,12.34,2.12,5.71,64.88,60.41,37.51,42.07,3.88,15.06
108,Sassuolo,Serie A,1.2,1.29,4.27,35.43,306.61,82.06,45.39,26.15,1.85,17.56,1.95,5,64.17,57.73,35.68,40.05,3.61,14.92
109,Sevilla,La Liga,1.32,1.33,4.3,37.59,355.26,83.28,50.63,28.08,1.36,16.66,1.4,4.74,67.54,63.25,37.74,50.24,4.07,11.83
110,Sheffield United,Premier League,1,1.23,3.24,34.73,255.76,79.58,37.49,21.24,1.83,14.1,2.66,6.9,71.9,59.77,40.37,40.66,3.28,18.34
111,Sparta Rotterdam,Eredivisie,1.46,1.43,4.86,40.18,331.92,82.56,48.55,28.43,2.27,18.78,1.43,5.05,67.92,60.96,43.22,47.65,3.91,13.28
112,Sporting Braga,Primeira Liga,2,1.82,6.02,40.28,431.32,85.54,55.79,32.79,1.58,24.17,1.45,4.15,68.66,59.93,34.83,43.82,4.72,9.51
113,Sporting CP,Primeira Liga,2.61,2.26,6.43,42.01,453.83,87.13,58.08,33.13,2.37,26.24,0.93,2.7,62.69,61.8,27.52,48.72,5.05,9.06
114,Strasbourg,Ligue 1,1.26,1.26,3.82,36.34,344.89,84.56,46.19,24.21,2.21,14.89,1.37,3.97,68.92,62.24,30.61,45.83,4.15,13.5
115,Stuttgart,Bundesliga,2.29,2.1,6.34,42.28,532,88.34,59.15,31.58,1.97,23.61,1.11,3.84,57.66,61.25,32.16,48.04,6.01,11.4
116,Torino,Serie A,0.98,1.22,3.7,33.48,379.48,86.01,52.93,28.28,1.25,16.55,0.98,3.75,59.2,60.94,38.33,44.94,4.54,11.03
117,Tottenham Hotspur,Premier League,1.85,1.82,5.37,38,491.05,87.06,59.9,31.44,2.29,29.1,1.54,4.41,64.32,58.1,24.71,45.61,5.41,8.3
118,Toulouse,Ligue 1,1.27,1.47,3.98,36.38,358.71,83.39,47.43,26.67,2.11,18.18,1.38,4.36,77.8,59.7,32.78,48.75,4.24,11.37
119,Twente,Eredivisie,1.9,1.79,4.93,32.85,406.34,83.57,55.06,34.98,1.63,26.34,1.12,3.98,73.93,62.12,38.39,38.95,4.39,9.4
120,Udinese,Serie A,1.03,1.24,3.55,32.05,251.75,81.1,41.54,23.1,2.2,13.63,1.4,4.38,66.33,60.38,34.15,48.98,3.18,14.14
121,Union Berlin,Bundesliga,1.02,1.25,3.67,35.08,302.83,80.84,42.45,26.24,2.36,15.57,1.64,5.07,65.76,60.97,44.29,45.97,3.62,14.46
122,Utrecht,Eredivisie,1.51,1.59,4.46,35.64,325.89,80.47,47.54,30.57,1.76,20.41,1.41,4.92,65.81,61.52,34.43,45.76,3.82,11.35
123,Valencia,La Liga,1.1,1.1,3.31,34.32,313.93,81.3,46.19,25.86,1.71,13.36,1.17,4.24,72.5,62.43,38.24,42.03,3.6,13.22
124,Villarreal,La Liga,1.73,1.6,4.69,39.66,387.16,85.44,51.38,27.1,1.65,19.71,1.61,5.24,61.92,59.16,28,48.98,4.47,11.99
125,Vitesse,Eredivisie,0.89,1.3,4.62,37.34,333.03,82.17,50.72,28.32,1.89,18.65,2.08,6.46,72,60.62,39.97,46.45,3.79,11.38
126,Vitória Guimarães,Primeira Liga,1.56,1.48,4.27,33.08,319.93,81.77,48.41,31.1,1.78,18.37,1.12,4,65.93,58.38,42.12,49.28,3.63,9.98
127,Vizela,Primeira Liga,1.08,1.37,4.08,34.19,330.41,82.98,49.83,27.64,1.31,16.28,1.82,4.82,67.64,57.88,38.95,43.05,3.67,10.09
128,Volendam,Eredivisie,1,1.17,3.41,36.59,258.21,78.77,42.8,22.24,1.47,12.94,2.59,8.09,75.09,60.16,41.94,45.37,3.25,15.86
129,Werder Bremen,Bundesliga,1.44,1.45,3.76,33.86,358.5,82.56,46.74,23.68,2.03,16.53,1.68,5.06,69.32,61.05,38.03,42.92,4.28,14.21
130,West Ham United,Premier League,1.55,1.44,3.92,36.81,331.81,83.35,43.37,26.38,1.42,16.57,1.7,6.09,62.36,60.18,37.23,45.97,4.01,15.6
131,Wolfsburg,Bundesliga,1.3,1.4,4.49,39.24,365.11,82.99,48.13,26.95,1.49,17.27,1.54,4.24,64.08,60.9,36.46,46.33,4.31,13.05
132,Wolverhampton Wanderers,Premier League,1.47,1.43,4.29,39.88,385.58,85,49.1,25,2.22,17.89,1.64,5.58,73.42,61.71,33.76,44.24,4.56,11.6
