G. Valsvik,Strømsgodset,Centre-back,31,1079,10.84,5.25,77.78,6.84,67.07,0.17,0.18,1.17,6.59,7.14,0.75,0,0,0.83,0.17,0.17,0.17,0.08,1.25,60,13.333,0,0.17,50,0.17,50,0,0,0,0.08,0,1.08,53.85,1.84,0.83,0.08,33.2,0.5,1.08,47.63,83.36,19.02,65.79,2.67,96.88,22.52,96.3,36.78,91.16,10.68,57.03,24.68,42.56,0,0,0,0,0,0,0,7.67,59.78,0.25,33.33,0.08,0,0.17,0.08,10.26,71.54,0,0,0,0,0,0,0,0,0,0,1.84,0,0,0,0,0,0,0,0,Norway Eliteserien
J. Taaje,Strømsgodset,Centre-back,26,1048,11.25,8.85,60.19,5.75,62.69,0.26,0.28,0.94,5.67,6.11,0.6,0.09,0,0.52,0.09,0.09,0.04,0.09,0.43,40,20,0.09,0.52,33.33,0,0,0.52,33.33,0,0.34,50,1.29,46.67,0.77,1.03,0.09,33.06,0.34,0.52,46.46,87.25,17,77.27,4.12,97.92,21.04,94.29,40.02,91.42,6.01,62.86,21.4,42.2,0.04,0.17,0,0.17,0.09,0,0.17,7.47,81.61,1.2,35.71,0.52,50,0.34,0.26,8.16,64.21,0,0,0,0,0,0,0,0,0,0,2.58,0,0,0,0,0,0,0,0,Norway Eliteserien
C. Öyvann,Molde,Centre-back,24,1020,8.12,5.03,68.42,3.44,56.41,0.18,0.21,0.18,4.5,5.43,0.18,0,0,0.44,0,0,0.06,0,0.35,25,0,0.09,0.26,66.67,0,0,0.26,66.67,0,0.35,50,0.53,33.33,0.62,0.26,0.09,50.65,0.18,0.44,66.18,92.27,22.41,85.04,3,100,34.32,96.4,61.24,95.1,4.76,57.41,19.99,42.85,0,0.26,0,0.09,0,0,0.18,10.15,87.83,0.44,60,0,0,0.09,0.18,9.26,69.52,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,Norway Eliteserien
F. Dahl,Strømsgodset,Centre-back,25,1009,11.15,7.49,79.76,2.23,64,0.09,0.1,1.43,5.08,5.48,0.54,0.09,0,0.8,0,0,0,0,0.09,0,0,0,0.8,22.22,0.8,22.22,0,0,0,0.8,66.67,2.85,40.63,0.27,0.8,0.45,28.1,1.16,0.45,41.03,86.96,13.29,75.84,5.71,93.75,14.81,95.18,37.02,91.81,3.39,47.37,18.66,32.03,0,0,0,0,0.09,100,0,4.01,80,0.71,37.5,0.09,0,0.09,0.18,6.78,57.89,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,Norway Eliteserien
S. Langås,Viking,Centre-back,23,986,9.31,4.29,59.57,4.11,62.22,0.18,0.24,0.82,6.57,8.71,0.27,0.09,0,0.09,0,0,0.02,0,0.27,0,0,0,0,0,0,0,0,0,0,0.09,100,0.82,44.44,0.37,0.82,0.09,38.52,0.09,0.55,53.67,90.31,16.61,81.87,2.74,93.33,28.84,96.52,49.84,93.77,3.83,45.24,20.61,42.84,0.02,0.18,0,0,0,0,0,6.85,80,0.09,100,0.09,100,0.18,0,8.22,65.56,0,0,0,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,Norway Eliteserien
J. Norheim,HamKam,Centre-back,29,980,8.36,4.41,75,7.62,50.6,0.09,0.09,0.73,4.96,5.08,0.55,0.18,0.09,0.92,0.18,0.18,0.08,0.09,0.46,100,40,0.09,0.28,33.33,0.18,0,0,0,0.09,0.46,80,1.47,68.75,1.47,0.37,0,21.31,0.46,0.73,32.23,79.49,14.14,65.58,4.22,95.65,10.19,90.99,26.63,86.9,5.33,44.83,20.84,36.96,0,0.09,0,0,0,0,0,6.7,64.38,0.92,10,0.18,0,0.18,0.09,6.89,70.67,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,Norway Eliteserien
A. Hagelskjær,Molde,Centre-back,27,949,9.1,5.97,68.25,4.55,75,0.28,0.35,0.19,4.74,5.77,0.66,0.19,0,0.47,0.09,0.09,0,0,0.28,33.33,33.333,0,0.47,40,0.47,40,0,0,0.09,0.57,16.67,1.9,35,0.47,1.14,0,53.96,0.38,0.38,69.33,89.47,25.04,80.3,3.51,97.3,35.28,94.89,60.13,94.48,8.72,57.61,23.45,40.08,0.02,0.28,0.09,0,0.09,100,0,11.66,82.93,0.47,80,0.57,66.67,0.57,0.19,12.42,74.81,0,0,0,0,0,0,0,0,0,0,1.99,0,0,0,0,0,0,0,0,Norway Eliteserien
T. Miettinen,Odds,Centre-back,21,948,10.63,3.32,74.29,4.46,42.55,0.09,0.11,1.23,8.07,8.95,0.38,0.19,0.09,0.19,0.09,0.09,0.1,0,0.28,33.33,33.333,0,0.28,0,0.28,0,0,0,0,0.28,33.33,1.71,44.44,0.38,0.09,0,31.9,0.09,0.76,45.76,89.42,14.15,74.5,3.04,100,23.54,95.97,41.49,93.59,3.99,52.38,20.73,40.14,0,0.09,0,0,0,0,0,3.51,75.68,0.47,20,0,0,0.09,0,6.17,53.85,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,Norway Eliteserien
S. Kristiansen,Sandefjord,Centre-back,25,935,7.6,4.43,76.09,4.52,65.96,0.19,0.25,0.87,4.04,5.34,1.06,0.19,0.1,0.39,0.1,0.1,0.07,0.1,0.67,28.57,14.286,0,0.39,0,0.39,0,0,0,0,0.39,50,2.79,58.62,0.77,1.16,0.19,40.04,0.19,1.83,58.33,86.8,18.58,70.47,4.52,97.87,29.26,94.74,47.07,93.05,10.88,62.83,23.25,46.68,0.03,0.29,0,0,0,0,0.19,8.47,69.32,0.77,25,0.48,60,0.58,0,10.11,65.71,0,0,0,0,0,0,0,0,0,0,3.37,0,0,0,0,0,0,0,0,Norway Eliteserien
V. Skjærvik,Tromsø,Centre-back,23,918,7.25,6.18,57.14,1.96,40,0,0,0.59,3.73,4.33,1.27,0,0,0.2,0.1,0.1,0.06,0.1,0.49,40,20,0,0.59,0,0.1,0,0.49,0,0,0,0,0.98,90,0.69,1.08,0,43.33,0.59,0.59,54.71,91.76,19.31,85.79,6.37,93.85,20.78,96.23,49.61,96.05,4.51,56.52,18.48,39.47,0.03,0.29,0,0,0.1,0,0,8.43,86.05,1.08,36.36,0.1,0,0.39,0,9.31,90.53,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,Norway Eliteserien
