53,M. Sankoh 23/24,Heracles,20,0.3,0.293,0.766,0.925,0.257,0.056,0.06,1224
54,C. Akpom 23/24,Ajax,28,0.427,0.897,0.992,0.968,0.462,0.756,0.664,1184
55,I. Lidberg 23/24,Utrecht,25,0.194,0.724,0.554,0.692,0.201,0.116,0.215,1056
56,T. Baeten 23/24,Go Ahead Eagles,21,0.215,0.3,0,0.014,0.353,0.611,0.84,1025
57,F. Druijf 23/24,PEC Zwolle,26,0.477,0.784,0.42,0.611,0.809,0.459,0.035,1012
58,D. Solanke 23/24,Bournemouth,26,0.06,0.438,0.699,0.763,0.325,0.279,0.558,3731
59,O. Watkins 23/24,Aston Villa,28,0.286,0.561,0.805,0.681,0.19,0.823,0.614,3650
60,J. Bowen 23/24,West Ham,27,0.512,0.233,0.742,0.441,0.36,0.823,0.784,3382
61,A. Gudmundsson 23/24,Genoa,26,0.893,0.109,0.42,0.339,0.954,0.904,0.837,3285
62,A. Pinamonti 23/24,Sassuolo,25,0.303,0.346,0.349,0.346,0.508,0.176,0.173,3260
63,Son Heung-Min 23/24,Tottenham,31,0.932,0.035,0.699,0.441,0.533,0.996,0.812,3259
64,Hugo Duro 23/24,Valencia,24,0.339,0.36,0.593,0.296,0.183,0.014,0.106,3229
65,D. Zapata 23/24,Torino,33,0.604,0.583,0.593,0.547,0.618,0.388,0.901,3228
66,C. Morris 23/24,Luton Town,28,0.349,0.628,0.169,0.346,0.674,0.056,0.36,3190
67,L. Ocampos 23/24,Sevilla,29,0.925,0.932,0.063,0.141,0.897,0.643,0.932,3140
68,N. Jackson 23/24,Chelsea,22,0.593,0.501,0.689,0.749,0.565,0.703,0.703,3135
69,E. Demirović 23/24,Augsburg,26,0.254,0.466,0.53,0.611,0.618,0.279,0.257,3132
70,T. Kleindienst 23/24,Heidenheim,28,0.42,0.925,0.466,0.816,0.632,0.279,0.296,3117
71,J. Strand Larsen 23/24,Celta de Vigo,24,0.378,0.696,0.646,0.692,0.268,0.388,0.434,3088
72,R. Lewandowski 23/24,Barcelona,35,0.621,0.805,0.773,0.855,0.593,0.643,0.469,3030
73,H. Kane 23/24,Bayern München,30,0.685,0.575,0.992,0.978,0.915,0.643,0.731,2999
74,Iago Aspas 23/24,Celta de Vigo,36,0.971,0.155,0.212,0.416,0.992,0.971,0.724,2998
75,J. Zirkzee 23/24,Bologna,22,0.869,0.459,0.42,0.296,0.72,0.388,0.692,2957
76,J. Wind 23/24,Wolfsburg,25,0.431,0.83,0.554,0.547,0.798,0.703,0.378,2920
77,J. Álvarez 23/24,Man City,24,0.978,0.113,0.441,0.537,0.6,0.961,0.636,2904
78,A. Griezmann 23/24,Atlético Madrid,33,0.992,0.24,0.618,0.547,0.982,0.851,0.48,2890
79,Chris Ramos 23/24,Cádiz,27,0.021,0.915,0.159,0.416,0.07,0.176,0.148,2881
80,R. Lukaku 23/24,Roma,31,0.236,0.664,0.699,0.441,0.113,0.176,0.272,2874
81,P. Aubameyang 23/24,Olympique Marseille,34,0.752,0.512,0.646,0.925,0.533,0.851,0.84,2865
82,L. Openda 23/24,RB Leipzig,24,0.459,0.851,0.95,0.901,0.282,0.787,0.855,2859
83,M. Thuram 23/24,Internazionale,26,0.646,0.886,0.699,0.611,0.215,0.53,0.65,2854
84,Y. En-Nesyri 23/24,Sevilla,26,0.028,0.611,0.805,0.441,0.053,0.056,0.074,2851
85,Lautaro Martínez 23/24,Internazionale,26,0.883,0.848,0.954,0.89,0.858,0.53,0.749,2844
86,J. David 23/24,Lille,24,0.72,0.144,0.869,0.925,0.469,0.53,0.484,2843
87,A. Dovbyk 23/24,Girona,26,0.109,0.957,0.869,0.985,0.007,0.756,0.3,2841
88,E. Haaland 23/24,Man City,23,0.197,0.703,0.936,0.996,0.021,0.611,0.501,2833
89,L. Lucca 23/24,Udinese,23,0.024,0.819,0.349,0.318,0.201,0.116,0.098,2826
90,M. Ducksch 23/24,Werder Bremen,30,0.798,0.296,0.272,0.547,0.904,0.925,0.452,2817
91,A. Sørloth 23/24,Villarreal,28,0.187,0.978,0.978,0.639,0.067,0.459,0.579,2780
92,L. Boyé 23/24,Granada,28,0.268,0.416,0.226,0.275,0.742,0.176,0.445,2773
93,Y. Wissa 23/24,Brentford,27,0.243,0.791,0.664,0.515,0.385,0.279,0.473,2747
94,T. Dallinga 23/24,Toulouse,23,0.625,0.862,0.742,0.869,0.275,0.116,0.24,2735
95,Matheus Cunha 23/24,Wolverhampton,24,0.844,0.123,0.618,0.346,0.911,0.53,0.893,2710
96,M. Uzuni 23/24,Granada,28,0.01,0.07,0.314,0.575,0.003,0.279,0.151,2695
97,M. Djurić 23/24,Monza,34,0.095,1,0.42,0.385,0.54,0.116,0.003,2690
98,M. Beier 23/24,Hoffenheim,21,0.614,0.332,0.89,0.611,0.035,0.459,0.787,2628
99,A. Budimir 23/24,Osasuna,32,0.049,0.883,0.826,0.851,0.257,0.176,0.236,2624
100,N. Füllkrug 23/24,Borussia Dortmund,31,0.636,0.636,0.494,0.692,0.646,0.703,0.137,2619
101,Rodrygo 23/24,Real Madrid,23,0.985,0.024,0.572,0.727,0.795,0.643,0.971,2599
102,V. Muriqi 23/24,Mallorca,30,0.406,0.777,0.243,0.441,0.724,0.279,0.095,2589
103,J. Mateta 23/24,Crystal Palace,26,0.07,0.632,0.833,0.639,0.137,0.388,0.388,2578
104,O. Giroud 23/24,Milan,37,0.293,0.77,0.664,0.869,0.406,0.279,0.106,2570
105,N. Krstović 23/24,Lecce,24,0.208,0.455,0.243,0.639,0.724,0.643,0.353,2546
106,P. Tietz 23/24,Augsburg,26,0.25,0.72,0.466,0.346,0.738,0.703,0.045,2539
107,Omar Marmoush 23/24,Eintracht Frankfurt,25,0.533,0.745,0.593,0.611,0.713,0.756,0.936,2535
108,W. Ben Yedder 23/24,Monaco,33,0.872,0.077,0.869,0.862,0.886,0.787,0.512,2523
109,L. Höler 23/24,Freiburg,29,0.731,0.565,0.243,0.24,0.872,0.116,0.063,2520
110,A. Isak 23/24,Newcastle United,24,0.448,0.091,0.901,0.925,0.554,0.388,0.777,2507
111,T. Skarke 23/24,Darmstadt 98,27,0.833,0.13,0.466,0.056,0.66,0.53,0.886,2492
112,A. Lacazette 23/24,Olympique Lyonnais,32,0.639,0.392,0.925,0.727,0.657,0.014,0.515,2469
113,D. Vlahović 23/24,Juventus,24,0.674,0.65,0.848,0.961,0.491,0.176,0.674,2463
114,M. Diaby 23/24,Aston Villa,24,0.763,0.003,0.272,0.187,0.113,0.954,0.819,2446
115,A. Adams 23/24,Montpellier,24,0.229,0.519,0.48,0.784,0.123,0.388,0.427,2436
116,S. Guirassy 23/24,Stuttgart,28,0.908,0.89,1,0.968,0.607,0.943,0.71,2420
117,Gerard Moreno 23/24,Villarreal,32,0.961,0.844,0.48,0.575,0.989,0.879,0.795,2408
118,Hwang Hee-Chan 23/24,Wolverhampton,28,0.632,0.06,0.699,0.441,0.282,0.459,0.455,2386
119,M. Retegui 23/24,Genoa,25,0.098,0.604,0.314,0.473,0.106,0.176,0.229,2386
120,R. Hojlund 23/24,Man United,21,0.162,0.063,0.646,0.416,0.169,0.279,0.325,2375
121,Gorka Guruzeta 23/24,Athletic Bilbao,27,0.678,0.547,0.858,0.664,0.791,0.53,0.36,2366
122,Mikel Oyarzabal 23/24,Real Sociedad,27,0.526,0.339,0.42,0.346,0.378,0.388,0.197,2366
123,Borja Mayoral 23/24,Getafe,26,0.575,0.48,0.731,0.575,0.805,0.116,0.392,2361
124,D. Calvert-Lewin 23/24,Everton,27,0.24,0.756,0.226,0.833,0.169,0.176,0.374,2355
125,F. Chiesa 23/24,Juventus,26,0.823,0.01,0.494,0.24,0.809,0.971,0.992,2353
126,K. Mbappé 23/24,PSG,25,0.996,0,0.989,0.989,0.893,0.879,0.989,2350
127,A. Sanabria 23/24,Torino,28,0.77,0.681,0.095,0.385,0.664,0.056,0.077,2330
128,D. Núñez 23/24,Liverpool,24,0.742,0.378,0.742,0.869,0.385,0.879,0.833,2323
129,W. Cheddira 23/24,Frosinone,26,0.321,0.388,0.314,0.537,0.339,0.014,0.31,2316
