54,A. Gallo 23/24,Lecce,24,0.887,0.829,0.913,0.6,0.711,0.334,0.86,2678
55,C. Operi 23/24,Le Havre,27,0.25,0.829,0.855,0.836,0.603,0.992,0.423,2670
56,P. Kadeřábek 23/24,Hoffenheim,32,0.735,0.891,0.735,0.062,0.021,0.533,0.144,2654
57,Javi López 23/24,Deportivo Alavés,22,0.411,0.656,0.586,0.298,0.656,0.447,0.391,2648
58,C. Taylor 23/24,Burnley,30,0.254,0.201,0.37,0.411,0.062,0.906,0.165,2628
59,T. Augello 23/24,Cagliari,29,0.206,0.656,0.87,0.252,0.18,0.769,0.682,2612
60,M. Darmian 23/24,Internazionale,34,0.98,0.276,0.338,0.269,0.343,0.591,0.069,2599
61,S. Posch 23/24,Bologna,27,0.584,0.276,0.985,0.665,0.533,0.528,0.367,2598
62,Vitinho 23/24,Burnley,24,0.055,0.12,0.048,0.475,0.067,0.362,0.651,2596
63,G. Suazo 23/24,Toulouse,26,0.889,0.802,0.56,0.754,0.485,0.461,0.216,2594
64,Tiago Santos 23/24,Lille,21,0.519,0.545,0.139,0.43,0.75,0.112,0.956,2593
65,O. Traorè 23/24,Heidenheim,26,0.646,0.466,0.487,0.564,0.213,0.526,0.661,2592
66,J. Gvardiol 23/24,Man City,22,0.043,0.201,0.692,0.492,0.882,0.406,0.802,2583
67,S. Sabelli 23/24,Genoa,31,0.62,0.375,0.56,0.3,0.293,0.125,0.637,2581
68,A. Caci 23/24,Mainz 05,26,0.814,0.375,0.911,0.528,0.925,0.5,0.194,2579
69,Ricard Sánchez 23/24,Granada,24,0.29,0.375,0.274,0.269,0.615,0.579,0.697,2564
70,F. Honorat 23/24,Borussia M'gladbach,27,0.759,1,0.536,0.004,0.108,0.35,0.927,2555
71,R. Aït-Nouri 23/24,Wolverhampton,22,0.137,0.201,0.055,0.5,0.627,0.206,0.855,2555
72,H. Traoré 23/24,Real Sociedad,32,0.658,0.201,0.653,0.362,0.456,0.61,0.326,2540
73,K. Trippier 23/24,Newcastle United,33,0.829,0.997,0.997,0.802,0.144,0.612,0.23,2537
74,A. Young 23/24,Everton,38,0.413,0.466,0.627,0.454,0.384,0.074,0.211,2526
75,Yan Couto 23/24,Girona,21,0.516,0.774,0.247,0.185,0.298,0.069,0.987,2525
76,M. Ruggeri 23/24,Atalanta,21,0.853,0.605,0.798,0.384,0.838,0.612,0.391,2521
77,A. Cambiaso 23/24,Juventus,24,0.531,0.829,0.045,0.112,0.12,0.576,0.872,2510
78,V. Kristiansen 23/24,Bologna,21,0.783,0.375,0.795,0.305,0.36,0.836,0.221,2504
79,R. Gosens 23/24,Union Berlin,29,0.923,0.201,0.67,0.687,0.716,0.915,0.06,2503
80,Óscar De Marcos 23/24,Athletic Bilbao,35,0.466,0.716,0.961,0.334,0.3,0.579,0.401,2485
81,J. Scally 23/24,Borussia M'gladbach,21,0.5,0.074,0.449,0.377,0.189,0.608,0.36,2478
82,C. Biraghi 23/24,Fiorentina,31,0.774,0.913,0.937,0.158,0.146,0.213,0.625,2477
83,H. Ito 23/24,Stuttgart,25,0.99,0.276,0.954,0.194,0.721,0.716,0.103,2473
84,M. Cash 23/24,Aston Villa,26,0.394,0.466,0.213,0.572,0.149,0.612,0.615,2461
85,L. Netz 23/24,Borussia M'gladbach,21,0.605,0.656,0.394,0.29,0.161,0.528,0.55,2453
86,Clinton Mata 23/24,Olympique Lyonnais,31,0.875,0.12,0.706,0.93,0.572,0.742,0.487,2426
87,A. Smith 23/24,Bournemouth,33,0.973,0.201,0.257,0.733,0.778,0.355,0.038,2418
88,P. Frankowski 23/24,Lens,29,0.622,0.802,0.588,0.411,0.079,0.086,0.637,2418
89,T. Alexander-Arnold 23/24,Liverpool,25,0.721,0.913,1,0.264,0.379,0.824,0.322,2407
90,H. Kamara 23/24,Udinese,30,0.865,0.466,0.156,0.473,0.324,0.956,0.838,2403
91,Dani Carvajal 23/24,Real Madrid,32,0.492,0.605,0.11,0.365,0.132,0.403,0.129,2396
92,J. Frimpong 23/24,Bayer Leverkusen,23,0.435,0.913,0.016,0.016,0.173,0.12,0.985,2389
93,Thierry Correia 23/24,Valencia,25,0.829,0.466,0.822,0.848,0.713,0.161,0.346,2389
94,D. Calabria 23/24,Milan,27,0.716,0.201,0.61,0.812,0.567,0.278,0.456,2384
95,M. Senaya 23/24,Strasbourg,23,0.432,0.605,0.415,0.954,0.944,0.911,0.6,2373
96,A. Truffert 23/24,Rennes,22,0.112,0.605,0.461,0.35,0.281,0.43,0.646,2351
97,M. Mittelstädt 23/24,Stuttgart,27,0.838,0.913,0.774,0.884,0.617,0.706,0.906,2347
98,J. Doig 23/24,Sassuolo,22,0.161,0.375,0.204,0.668,0.887,0.456,0.651,2337
99,N. Tagliafico 23/24,Olympique Lyonnais,31,0.076,0.031,0.274,0.5,0.411,0.6,0.105,2289
100,J. Toljan 23/24,Sassuolo,29,0.1,0.201,0.286,0.069,0.141,0.067,0.271,2282
101,J. Kimmich 23/24,Bayern München,29,0.817,0.956,0.867,0.12,0.247,0.016,0.661,2280
102,C. Ogbene 23/24,Luton Town,27,0.435,0.87,0.036,0.038,0.937,0.439,0.992,2265
103,M. Roerslev 23/24,Brentford,24,0.663,0.545,0.139,0.319,0.639,0.274,0.024,2263
104,K. Mbabu 23/24,Augsburg,29,0.538,0.774,0.596,0.468,0.401,0.978,0.841,2259
105,Samuel Lino 23/24,Atlético Madrid,24,0.134,0.891,0.076,0.593,0.43,0.259,0.997,2250
106,J. Clauss 23/24,Olympique Marseille,31,0.23,0.906,0.966,0.55,0.721,0.237,0.689,2243
107,A. Davies 23/24,Bayern München,23,0.372,0.466,0.322,0.348,0.411,0.997,0.99,2239
108,J. Mojica 23/24,Osasuna,31,0.783,0.656,0.817,0.423,0.471,0.612,0.548,2239
109,J. Ward 23/24,Crystal Palace,34,0.237,0,0.293,0.682,0.439,0.54,0.134,2233
110,R. Baku 23/24,Wolfsburg,26,0.867,0.545,0.564,0.454,0.288,0.247,0.367,2230
111,Rubén Peña 23/24,Osasuna,32,0.819,0.829,0.675,0.637,0.509,0.084,0.781,2226
112,T. Delaine 23/24,Strasbourg,32,0.221,0.716,0.25,0.5,0.331,0.552,0.752,2225
113,Íñigo Lekue 23/24,Athletic Bilbao,31,0.512,0.074,0.769,0.656,0.865,0.5,0.637,2212
114,Jesús Navas 23/24,Sevilla,38,0.413,0.545,0.848,0.286,0.786,0.199,0.86,2203
115,S. Birindelli 23/24,Monza,24,0.879,0.716,0.504,0.1,0.009,0.247,0.882,2198
116,M. Kerkez 23/24,Bournemouth,20,0.723,0.201,0.137,0.762,0.411,0.564,0.685,2194
117,V. Lazaro 23/24,Torino,28,0.649,0.716,0.762,0,0.002,0.341,0.651,2187
118,F. Dimarco 23/24,Internazionale,26,0.781,0.995,0.891,0.076,0.906,0.036,0.651,2185
119,Q. Merlin 23/24,Olympique Marseille,22,0.473,0.605,0.978,0.725,0.687,0.18,0.742,2140
120,M. Kayode 23/24,Fiorentina,19,0.903,0.466,0.701,0.24,0.879,0.824,0.524,2130
121,Yuri Berchiche 23/24,Athletic Bilbao,34,0.526,0.276,0.757,0.675,0.634,0.841,0.336,2117
122,A. Hakimi 23/24,PSG,25,0.177,0.913,0.951,0.377,0.651,0.278,0.978,2116
123,L. Cacace 23/24,Empoli,23,0.069,0.375,0.639,0.543,0.444,0.394,0.814,2116
124,R. Aguilar 23/24,Lens,31,0.54,0.716,0.682,0.668,0.939,0.372,0.576,2110
125,J. Dina Ebimbe 23/24,Eintracht Frankfurt,23,0.346,0.545,0.228,0.165,0.028,0.913,0.74,2105
126,P. Mwene 23/24,Mainz 05,30,0.884,0.545,0.608,0.274,0.406,0.192,0.802,2095
127,Rubén Duarte 23/24,Deportivo Alavés,28,0.605,0.375,0.543,0.701,0.875,0.612,0.052,2092
128,D. Foulquier 23/24,Valencia,31,0.435,0.201,0.61,0.189,0.733,0.086,0.557,2092
129,E. Gyasi 23/24,Empoli,30,0.209,0.276,0,0.088,0.137,0.122,0.052,2088
130,J. Gomez 23/24,Liverpool,26,0.052,0.201,0.257,0.495,0.091,0.812,0.831,2068
131,L. Hernández 23/24,PSG,28,0.076,0.375,0.887,0.682,0.372,0.466,0.473,2066
132,Marc Pubill 23/24,Almería,20,0.125,0.201,0.223,0.805,0.802,0.918,0.786,2062
133,Juan Miranda 23/24,Real Betis,24,0.293,0.375,0.865,0.603,0.538,0.483,0.149,2043
134,N. Molina 23/24,Atlético Madrid,26,0.581,0.656,0.814,0.319,0.552,0.319,0.365,2029
135,L. Colwill 23/24,Chelsea,21,0.05,0.012,0.615,0.572,0.341,0.939,0.49,2029
136,K. Sildillia 23/24,Freiburg,21,0.632,0.276,0.788,0.901,0.81,0.536,0.338,2024
137,Manu Sánchez 23/24,Celta de Vigo,23,0.783,0.716,0.266,0.951,0.759,0.043,0.524,2011
138,D. Zappacosta 23/24,Atalanta,31,0.891,0.466,0.389,0.276,0.237,0.112,0.826,2010
139,Marc Cucurella 23/24,Chelsea,25,0.278,0.276,0.132,0.937,0.819,0.612,0.346,2007
140,A. Wan-Bissaka 23/24,Man United,26,0.543,0.375,0.105,0.757,0.259,0.552,0.346,2004
141,T. De Smet 23/24,Reims,25,0.086,0.074,0.62,0.735,0.49,0.11,0.29,2001
142,M. Colin 23/24,Metz,32,0.649,0.031,0.495,0.656,0.956,0.949,0.189,1995
143,T. Foket 23/24,Reims,29,0.706,0.201,0.269,0.418,0.266,0.206,0.295,1992
144,Adrià Pedrosa 23/24,Sevilla,26,0.326,0.656,0.336,0.709,0.591,0.125,0.456,1989
145,José Gayá 23/24,Valencia,29,0.341,0.466,0.588,0.651,0.865,0.567,0.6,1989
146,M. Bader 23/24,Darmstadt 98,26,0.408,0.545,0.584,0.588,0.786,0.237,0.36,1976
147,J. Lotomba 23/24,Nice,25,0.737,0.12,0.067,0.35,0.935,0.862,0.432,1971
148,M. Pedersen 23/24,Augsburg,27,0.36,0.466,0.233,0.735,0.913,0.141,0.769,1967
149,J. Ryerson 23/24,Borussia Dortmund,26,0.259,0.605,0.086,0.29,0.853,0.125,0.704,1958
150,Malo Gusto 23/24,Chelsea,21,0.882,0.891,0.752,0.891,0.353,0.009,0.944,1950
151,O. Zinchenko 23/24,Arsenal,27,0.269,0.605,0.939,0.206,0.725,0.858,0.401,1936
152,Aurélio Buta 23/24,Eintracht Frankfurt,27,0.266,0.12,0.572,0.225,0.235,0.8,0.576,1931
153,R. Kristensen 23/24,Roma,26,0.182,0.12,0.442,0.216,0.42,0.896,0.129,1930
154,E. Karic 23/24,Darmstadt 98,26,0.925,0.276,0.939,0.75,0.812,0.98,0.802,1927
155,I. Kaboré 23/24,Luton Town,23,0.365,0.276,0.12,0.608,0.163,0.795,0.6,1927
156,Carlos Augusto 23/24,Internazionale,25,0.42,0.466,0.233,0.29,0.942,0.908,0.536,1922
157,A. Florenzi 23/24,Milan,33,0.737,0.968,0.764,0.545,0.387,0.069,0.326,1922
158,A. Robertson 23/24,Liverpool,30,0.161,0.987,0.923,0.141,0.622,0.612,0.899,1918
159,F. Kostić 23/24,Juventus,31,0.468,0.975,0.716,0.334,0.475,0.17,0.875,1918
160,Sergio Akieme 23/24,Almería,26,0.713,0.716,0.064,0.141,0.997,0.319,0.266,1905
161,J. Tchatchoua 23/24,Hellas Verona,22,0.737,0.605,0.262,0.718,0.406,0.838,0.569,1900
162,Jaume Costa 23/24,Mallorca,36,0.728,0.276,0.403,0.17,0.665,0.471,0.519,1897
163,Héctor Bellerín 23/24,Real Betis,29,0.137,0.375,0.461,0.403,0.288,0.221,0.442,1893
164,N. Williams 23/24,Nottingham Forest,23,0.389,0.375,0.194,0.987,0.31,0.764,0.625,1890
165,O. Aina 23/24,Nottingham Forest,27,0.649,0.375,0.218,0.709,0.682,0.471,0.829,1881
166,B. Diakité 23/24,Lille,23,0,0.074,0.593,0.192,0.817,0.899,0.401,1874
167,F. Ebosele 23/24,Udinese,21,0.663,0.716,0.004,0.377,0.115,0.423,0.983,1867
168,Juan Cruz 23/24,Osasuna,31,0.161,0.012,0.516,0.084,0.194,0.927,0.06,1864
169,F. Mendy 23/24,Real Madrid,28,0.069,0.031,0.096,0.043,0.656,0.8,0.134,1863
170,P. Mazzocchi 23/24,Napoli,28,0.663,0.276,0.379,0.276,0.242,0.262,0.896,1854
171,Igor Julio 23/24,Brighton,26,0.435,0.074,0.819,0.427,0.084,0.949,0.735,1848
172,K. Laimer 23/24,Bayern München,26,0.783,0.802,0.406,0.814,0.918,0.144,0.915,1841
173,M. Finkgräfe 23/24,Köln,20,0.151,0.466,0.264,0.903,0.689,0.593,0.884,1839
174,G. Kyriakopoulos 23/24,Monza,28,0.855,0.656,0.682,0.122,0.516,0.052,0.925,1838
175,J. Veltman 23/24,Brighton,32,0.016,0.074,0.427,0.519,0.274,0.685,0.182,1834
176,C. Trimmel 23/24,Union Berlin,37,0.942,0.906,0.925,0.11,0.033,0.612,0.122,1823
177,M. Lazzari 23/24,Lazio,30,0.401,0.466,0.081,0.045,0.012,0.144,0.968,1822
178,M. Pedersen 23/24,Sassuolo,23,0.487,0.276,0.146,0.24,0.168,0.052,0.843,1803
179,Iago 23/24,Augsburg,27,0.985,0.276,0.55,0.826,0.581,0.423,0.509,1801
180,R. Carstensen 23/24,Köln,23,0.103,0.774,0.283,0.918,0.5,0.391,0.509,1800
181,L. Kelly 23/24,Bournemouth,25,0.372,0.201,0.548,0.627,0.901,0.754,0.043,1793
182,D. Dumfries 23/24,Internazionale,28,0.663,0.968,0.242,0.129,0.612,0.877,0.588,1788
183,Vanderson 23/24,Monaco,22,0.048,0.829,0.627,0.99,0.139,0.185,0.588,1784
184,Lucas Pires 23/24,Cádiz,23,0.783,0.656,0.36,0.48,0.56,0.737,0.165,1761
185,Kiko Femenía 23/24,Villarreal,33,0.233,0.201,0.836,0.793,0.153,0.483,0.528,1747
186,P. Dorgu 23/24,Lecce,19,0.423,0.605,0.05,0.709,0.625,0.675,0.401,1736
187,Y. Salmier 23/24,Le Havre,31,0.663,0.074,0.317,0.391,0.783,0.846,0.23,1734
188,P. Ciurria 23/24,Monza,29,0.769,0.829,0.67,0.076,0.182,0.319,0.588,1733
189,M. Desler 23/24,Toulouse,29,0.127,0.375,0.17,0.329,0.423,0.968,0.173,1713
190,Sergio Reguilón 23/24,Brentford,27,0.826,0.932,0.721,0.961,0.348,0.161,0.762,1710
191,M. Olivera 23/24,Napoli,26,0.956,0.12,0.79,0.867,0.949,0.701,0.634,1706
192,Toni Lato 23/24,Mallorca,26,0.783,0.466,0.394,0.396,0.901,0.086,0.245,1697
193,Rodrigo Riquelme 23/24,Atlético Madrid,24,0.112,0.87,0.129,0.228,0.262,0.014,0.98,1692
194,H. Toffolo 23/24,Nottingham Forest,28,0.843,0.375,0.175,0.853,0.786,0.774,0.007,1673
195,T. Le Bris 23/24,Lorient,21,0.033,0.545,0.086,0.661,0.961,0.266,0.879,1666
196,F. Nürnberger 23/24,Darmstadt 98,24,0.762,0.716,0.564,0.064,0.122,0.783,0.762,1659
197,F. Agu 23/24,Werder Bremen,24,0.37,0.031,0.096,0.343,0.682,0.516,0.377,1645
198,J. Cabal 23/24,Hellas Verona,23,0.112,0.031,0.838,0.942,0.584,0.985,0.312,1645
199,J. Araujo 23/24,Las Palmas,22,0.783,0.276,0.435,0.79,0.793,0.824,0.112,1633
200,Pablo Maffeo 23/24,Mallorca,26,0.723,0.545,0.468,0.288,0.319,0.612,0.557,1629
201,Alberto Moreno 23/24,Villarreal,31,0.504,0.466,0.512,0.358,0.074,0.076,0.185,1626
202,M. Coco 23/24,Nantes,27,0.122,0.12,0.233,0.817,0.194,0.56,0.497,1624
203,D. Muñoz 23/24,Crystal Palace,27,0.064,0.802,0.108,0.944,0.199,0.612,0.326,1613
204,F. Parisi 23/24,Fiorentina,23,0.562,0.545,0.754,0.612,0.394,0.319,0.894,1612
205,I. Sylla 23/24,Montpellier,30,0.579,0.466,0.471,0.634,0.204,0.406,0.384,1611
206,I. Jakobs 23/24,Monaco,24,0.293,0.774,0.48,0.531,0.449,0.819,0.454,1604
207,Abner 23/24,Real Betis,23,0.161,0.276,0.271,0.778,0.117,0.728,0.031,1597
208,A. Maitland-Niles 23/24,Olympique Lyonnais,26,0.016,0.466,0.223,0.483,0.908,0.406,0.276,1586
209,Lucas Vázquez 23/24,Real Madrid,32,0.754,0.956,0.487,0.728,0.646,0.247,0.615,1585
210,B. Osborn 23/24,Sheffield United,29,0.254,0.12,0.151,0.105,0.076,0.004,0.093,1581
211,J. Belocian 23/24,Rennes,19,0.963,0.012,0.242,0.389,0.543,0.233,0.093,1580
212,Alejandro Balde 23/24,Barcelona,20,0.161,0.466,0.04,0.024,0.889,0.814,0.975,1566
213,Juan Iglesias 23/24,Getafe,25,0.399,0.201,0.663,0.889,0.274,0.574,0.158,1561
214,N. Zortea 23/24,Frosinone,24,0.872,0.829,0.524,0.18,0.48,0.103,0.766,1558
215,Fran García 23/24,Real Madrid,24,0.485,0.375,0.209,0.661,0.769,0.225,0.814,1557
216,F. Sacko 23/24,Montpellier,29,0.331,0.276,0.427,0.576,0.432,0.406,0.516,1543
217,M. Vojvoda 23/24,Torino,29,0.764,0.656,0.956,0.134,0.103,0.125,0.668,1539
218,M. Bülter 23/24,Hoffenheim,31,0.478,0.87,0.646,0.036,0.447,0.257,0.875,1526
