53,L. Montipò 23/24,Hellas Verona,28,0.165,0.318,0.197,0.337,0.878,0.503,0.267,3673
54,G. Mamardashvili 23/24,Valencia,23,0.611,0.834,0.847,0.082,0.426,0.031,0.853,3656
55,Álex Remiro 23/24,Real Sociedad,29,0.331,0.133,0.286,0.573,0.649,0.299,0.719,3648
56,Álvaro Valles 23/24,Las Palmas,27,0.91,0.694,0.656,0.993,0.197,0.458,0.694,3622
57,F. Jörgensen 23/24,Villarreal,22,0.547,0.229,0.471,0.445,0.28,0.91,0.91,3619
58,P. Rajković 23/24,Mallorca,28,0.114,0.382,0.808,0.28,0.726,0.203,0.439,3609
59,Josep Martínez 23/24,Genoa,26,0.668,0.993,0.955,0.802,0.21,0.14,0.382,3558
60,V. Milinković-Savić 23/24,Torino,27,0.28,0.56,0.757,0.898,0.84,0.324,0.872,3548
61,Unai Simón 23/24,Athletic Bilbao,26,0.828,0.445,0.394,0.363,0.127,0.242,0.611,3512
62,E. Martínez 23/24,Aston Villa,31,0.929,0.121,0.407,0.828,0.363,0.707,0.528,3469
63,José Sá 23/24,Wolverhampton,31,0.834,0.764,0.84,0.222,0.031,0.273,0.974,3452
64,A. Consigli 23/24,Sassuolo,37,0.452,0.318,0.375,0.426,0.662,0.407,0.063,3432
65,W. Szczęsny 23/24,Juventus,34,0.222,0.191,0.305,0.292,0.808,0.687,0.535,3427
66,C. Ledesma 23/24,Cádiz,31,0.859,0.318,0.866,0.254,0.929,0.057,0.503,3423
67,Sivera 23/24,Deportivo Alavés,27,0.458,0.617,0.713,0.095,0.375,0.261,0.585,3411
68,O. Baumann 23/24,Hoffenheim,33,0.337,0.318,0.528,0.757,0.872,0.917,0.707,3406
69,G. Restes 23/24,Toulouse,19,0.044,0.146,0.012,0.146,0.343,0.152,0.624,3386
70,S. Mandanda 23/24,Rennes,39,0.535,0.668,0.592,0.662,0.261,0.649,0.273,3361
71,Y. Mvogo 23/24,Lorient,29,0.203,0.191,0.216,0.458,0.477,0.789,0.407,3357
72,Y. Diouf 23/24,Reims,24,0.566,0.917,0.859,0.796,0.178,0.675,0.254,3356
73,M. Bułka 23/24,Nice,24,0.299,0.789,0.318,0.777,0.821,0.312,0.828,3355
74,Y. Sommer 23/24,Internazionale,35,0.012,0.05,0.133,0.694,0.828,0.904,0.859,3332
75,Luís Maximiano 23/24,Almería,25,0.751,0.082,0.235,0.414,0.503,0.63,0.49,3331
76,F. Rønnow 23/24,Union Berlin,31,0.738,0.796,0.968,0.738,0.993,0.547,0.324,3324
77,N. Atubolu 23/24,Freiburg,21,0.388,0.445,0.407,0.751,0.834,0.471,0.121,3320
78,M. Riemann 23/24,Bochum,35,0.942,0.923,0.77,0.968,0.923,0.318,0.178,3294
79,B. Samba 23/24,Lens,30,0.547,0.159,0.318,0.598,0.751,0.713,0.949,3275
80,M. Schwäbe 23/24,Köln,29,0.019,0.292,0.216,0.821,0.777,0.286,0.458,3272
81,Neto 23/24,Bournemouth,34,0.656,0.592,0.847,0.267,0.458,0.21,0.458,3270
