Player,Position,Team within selected timeframe,Minutes played
N. Pépé,Winger,Villarreal,1353
Alberto Moleiro,Winger,Villarreal,1600
T. Buchanan,Winger,Villarreal,1375
Noah Saviolo,Winger,Vitória Guimarães,1275
Gustavo Silva,Winger,Vitória Guimarães,730
Telmo Arcanjo,Winger,Vitória Guimarães,1009
Samu,Winger,Vitória Guimarães,1135
J. Ideho,Winger,Volendam,893
O. Kökcü,Winger,Volendam,1279
A. Oehlers,Winger,Volendam,1248
B. Kuwas,Winger,Volendam,1668
R. Van Cruijsen,Winger,Volendam,867
Cameron Puertas,Winger,Werder Bremen,1022
S. Mbangula,Winger,Werder Bremen,983
R. Schmid,Winger,Werder Bremen,2103
C. Summerville,Winger,West Ham United,1737
Lucas Paquetà,Winger,West Ham United,1648
J. Bowen,Winger,West Ham United,2586
A. Daghim,Winger,Wolfsburg,980
L. Majer,Winger,Wolfsburg,1236
P. Wimmer,Winger,Wolfsburg,1259
C. Eriksen,Winger,Wolfsburg,1494
M. Svanberg,Winger,Wolfsburg,785
J. Arias,Winger,Wolverhampton,1258
J. Bellegarde,Winger,Wolverhampton,831
Hugo Bueno,Winger,Wolverhampton,1762
J. Tchatchoua,Winger,Wolverhampton,1450
Tomané,Striker,AVS ,1380
T. Parrott,Striker,AZ,1600
J. Hornkamp,Striker,AZ,1372
W. Weghorst,Striker,Ajax,1266
K. Dolberg,Striker,Ajax,762
Sandro Lima,Striker,Alverca,728
M. Milovanović,Striker,Alverca,1247
P. Peter,Striker,Angers SCO,931
S. Chérif,Striker,Angers SCO,1246
D. Nandín,Striker,Arouca,812
Iván Barbero,Striker,Arouca,1186
V. Gyökeres,Striker,Arsenal,1742
Mikel Merino,Striker,Arsenal,1153
O. Watkins,Striker,Aston Villa,2070
D. Malen,Striker,Aston Villa,761
A. Aylola Lookman,Striker,Atalanta,850
N. Krstović,Striker,Atalanta,977
G. Scamacca,Striker,Atalanta,988
Gorka Guruzeta,Striker,Athletic Club,1481
A. Griezmann,Striker,Atlético Madrid,884
J. Álvarez,Striker,Atlético Madrid,1749
A. Sørloth,Striker,Atlético Madrid,1243
M. Kömür,Striker,Augsburg,1171
L. Sinayoko,Striker,Auxerre,1816
S. Mara,Striker,Auxerre,819
R. Lewandowski,Striker,Barcelona,1042
Ferrán Torres,Striker,Barcelona,1422
P. Schick,Striker,Bayer Leverkusen,1292
C. Kofane,Striker,Bayer Leverkusen,818
H. Kane,Striker,Bayern München,1945
V. Pavlidis,Striker,Benfica,1926
S. Castro,Striker,Bologna,1528
T. Dallinga,Striker,Bologna,791
S. Guirassy,Striker,Borussia Dortmund,1776
F. Honorat,Striker,Borussia Mgladbach,1274
S. Machino,Striker,Borussia Mgladbach,903
H. Tabaković,Striker,Borussia Mgladbach,1656
Evanilson,Striker,Bournemouth,1976
E. Kroupi,Striker,Bournemouth,986
Igor Thiago,Striker,Brentford,2430
L. Ajorque,Striker,Brest,1926
D. Welbeck,Striker,Brighton,1605
L. Foster,Striker,Burnley,1130
Z. Flemming,Striker,Burnley,933
A. Broja,Striker,Burnley,929
S. Kılıçsoy,Striker,Cagliari,740
G. Borrelli,Striker,Cagliari,1141
S. Esposito,Striker,Cagliari,1702
Cassiano,Striker,Casa Pia AC,1385
Pablo Durán,Striker,Celta de Vigo,994
Ferrán Jutglà,Striker,Celta de Vigo,813
Borja Iglesias,Striker,Celta de Vigo,1340
João Pedro,Striker,Chelsea,2075
L. Delap,Striker,Chelsea,829
Álvaro Morata,Striker,Como,728
A. Douvikas,Striker,Como,1386
J. Vardy,Striker,Cremonese,1753
F. Bonazzoli,Striker,Cremonese,1454
J. Strand Larsen,Striker,Crystal Palace,1753
J. Mateta,Striker,Crystal Palace,2061
Toni Martínez,Striker,Deportivo Alavés,1647
L. Boyé,Striker,Deportivo Alavés,1483
J. Burkardt,Striker,Eintracht Frankfurt,729
André Silva,Striker,Elche,1130
Rafa Mir,Striker,Elche,1409
Álvaro Rodríguez,Striker,Elche,1478
Kike García,Striker,Espanyol,1020
Roberto Fernández,Striker,Espanyol,1796
Y. Begraoui,Striker,Estoril,1817
Alejandro Marqués,Striker,Estoril,856
André Lacximicant,Striker,Estoril,914
R. Guitane,Striker,Estoril,1308
Kikas,Striker,Estrela Amadora,1308
T. Barry,Striker,Everton,1609
Beto,Striker,Everton,1029
J. Bergraaf,Striker,Excelsior,922
Y. Zabiri,Striker,Famalicão,730
S. Elisor,Striker,Famalicão,1291
A. Ueda,Striker,Feyenoord,1831
R. Piccoli,Striker,Fiorentina,1176
M. Kean,Striker,Fiorentina,1895
P. Gladon,Striker,Fortuna Sittard,740
K. Sierhuis,Striker,Fortuna Sittard,1370
I. Matanović,Striker,Freiburg,800
L. Höler,Striker,Freiburg,1485
R. Jiménez,Striker,Fulham,1878
L. Colombo,Striker,Genoa,1533
Vitinha,Striker,Genoa,1543
Adrián Liso,Striker,Getafe,1461
Borja Mayoral,Striker,Getafe,1138
Gustavo Varela,Striker,Gil Vicente,884
Pablo Felipe,Striker,Gil Vicente,1015
V. Vanat,Striker,Girona,1573
M. Smit,Striker,Go Ahead Eagles,1482
V. Edvardsen,Striker,Go Ahead Eagles,1138
T. van Bergen,Striker,Groningen,2046
B. Willumsson,Striker,Groningen,1042
R. Königsdörffer,Striker,Hamburger SV,1474
D. Vente,Striker,Heerenveen,1773
M. Pieringer,Striker,Heidenheim,1015
G. Orban,Striker,Hellas Verona,1692
A. Sarr,Striker,Hellas Verona,945
L. Kulenović,Striker,Heracles,1312
T. Lemperle,Striker,Hoffenheim,1356
F. Asllani,Striker,Hoffenheim,1522
L. Martínez,Striker,Internazionale,1885
M. Thuram,Striker,Internazionale,1179
P. Esposito,Striker,Internazionale,899
D. Vlahović,Striker,Juventus,735
J. David,Striker,Juventus,1423
S. El Mala,Striker,Köln,1198
R. Ache,Striker,Köln,1245
M. Bülter,Striker,Köln,1274
Taty Castellanos,Striker,Lazio,757
B. Dia,Striker,Lazio,908
I. Soumaré,Striker,Le Havre,1967
M. Samatta,Striker,Le Havre,908
F. Camarda,Striker,Lecce,714
N. Štulić,Striker,Lecce,1376
D. Calvert-Lewin,Striker,Leeds United,1822
L. Nmecha,Striker,Leeds United,800
O. Édouard,Striker,Lens,1183
Iván Romero,Striker,Levante,1554
E. Eyong,Striker,Levante,1607
O. Giroud,Striker,Lille,1453
H. Ekitiké,Striker,Liverpool,1677
S. Soumano,Striker,Lorient,903
M. Bamba,Striker,Lorient,774
B. Hollerbach,Striker,Mainz 05,925
P. Tietz,Striker,Mainz 05,906
V. Muriqi,Striker,Mallorca,2055
Mateo Joseph,Striker,Mallorca,1439
E. Haaland,Striker,Manchester City,2363
Matheus Cunha,Striker,Manchester United,1787
B. Šeško,Striker,Manchester United,1269
H. Diallo,Striker,Metz,1418
C. Nkunku,Striker,Milan,972
Rafael Leão,Striker,Milan,1182
C. Pulišić,Striker,Milan,972
F. Balogun,Striker,Monaco,1381
M. Biereth,Striker,Monaco,1059
Guilherme Schettine,Striker,Moreirense,1044
Alan,Striker,Moreirense,1856
S. van Hooijdonk,Striker,NAC Breda,1287
C. Brym,Striker,NAC Breda,1015
K. Ogawa,Striker,NEC,1175
B. Linssen,Striker,NEC,1498
J. Ramírez,Striker,Nacional,2008
Y. El-Arabi,Striker,Nantes,875
Mostafa Mohamed,Striker,Nantes,1061
R. Højlund,Striker,Napoli,1763
Giovane,Striker,Napoli,1691
N. Woltemade,Striker,Newcastle United,1574
J. Boga,Striker,Nice,734
M. Cho,Striker,Nice,1051
Igor Jesus,Striker,Nottingham Forest,1566
M. Satriano,Striker,Olympique Lyonnais,766
P. Šulc,Striker,Olympique Lyonnais,1362
P. Aubameyang,Striker,Olympique Marseille,1290
A. Gouiri,Striker,Olympique Marseille,782
Raul García,Striker,Osasuna,825
A. Budimir,Striker,Osasuna,1845
K. Kostons,Striker,PEC Zwolle,2114
Gonçalo Ramos,Striker,PSG,1036
O. Dembélé,Striker,PSG,749
R. Pepi,Striker,PSV,780
I. Saibari,Striker,PSV,1611
G. Til,Striker,PSV,1814
J. Krasso,Striker,Paris,1049
W. Geubbels,Striker,Paris,785
M. Pellegrino,Striker,Parma,2214
P. Cutrone,Striker,Parma,962
S. Moreo,Striker,Pisa,1429
H. Meister,Striker,Pisa,1325
M. Tramoni,Striker,Pisa,1306
Samu Aghehowa,Striker,Porto,1499
C. Harder,Striker,RB Leipzig,829
Rômulo,Striker,RB Leipzig,1432
Jorge de Frutos,Striker,Rayo Vallecano,1516
C. Hernández,Striker,Real Betis,1790
K. Mbappé,Striker,Real Madrid,2100
Vinícius Júnior,Striker,Real Madrid,1815
S. Rondón,Striker,Real Oviedo,1121
F. Viñas,Striker,Real Oviedo,1363
Mikel Oyarzabal,Striker,Real Sociedad,1966
B. Embolo,Striker,Rennes,1431
E. Lepaul,Striker,Rennes,1777
Clayton,Striker,Rio Ave,1718
P. Dybala,Striker,Roma,1131
E. Ferguson,Striker,Roma,845
W. Silva,Striker,Santa Clara,970
Gabriel Silva,Striker,Santa Clara,1329
A. Pinamonti,Striker,Sassuolo,1908
M. Nzola,Striker,Sassuolo,1158
A. Adams,Striker,Sevilla,1403
Isaac Romero,Striker,Sevilla,1078
A. Sánchez,Striker,Sevilla,918
M. Zonneveld,Striker,Sparta Rotterdam,984
T. Lauritsen,Striker,Sparta Rotterdam,2153
Fran Navarro,Striker,Sporting Braga,776
Pau Víctor,Striker,Sporting Braga,1517
L. Suárez,Striker,Sporting CP,1924
M. Pereira Lage,Striker,St. Pauli,1502
M. Kaars,Striker,St. Pauli,1027
J. Panichelli,Striker,Strasbourg,2031
E. Demirović,Striker,Stuttgart,887
D. Undav,Striker,Stuttgart,1484
B. Brobbey,Striker,Sunderland,1261
W. Isidor,Striker,Sunderland,1140
H. Diarra,Striker,Sunderland,733
S. Hetli,Striker,Telstar,1300
j.Siebatcheu,Striker,Tondela,1194
H. Sequeira,Striker,Tondela,863
J. Hodge,Striker,Tondela,812
G. Simeone,Striker,Torino,1274
C. Ngonge,Striker,Torino,1091
C. Adams,Striker,Torino,1543
D. Zapata,Striker,Torino,771
R. Kolo Muani,Striker,Tottenham Hotspur,1126
Richarlison,Striker,Tottenham Hotspur,1446
F. Magri,Striker,Toulouse,1331
Emersonn,Striker,Toulouse,1004
R. van Wolfswinkel,Striker,Twente,1651
K. Davis,Striker,Udinese,1593
N. Zaniolo,Striker,Udinese,1438
I. Ansah,Striker,Union Berlin,1565
A. Ilić,Striker,Union Berlin,1594
O. Burke,Striker,Union Berlin,1110
D. Min,Striker,Utrecht,789
S. Haller,Striker,Utrecht,819
D. de Wit,Striker,Utrecht,1260
L. Beltrán,Striker,Valencia,1196
Hugo Duro,Striker,Valencia,1542
Gerard Moreno,Striker,Villarreal,765
G. Mikautadze,Striker,Villarreal,1141
Nélson Oliveira,Striker,Vitória Guimarães,1144
A. Ndoye,Striker,Vitória Guimarães,832
O. Camara,Striker,Vitória Guimarães,1113
H. Veerman,Striker,Volendam,1598
J. Njinmah,Striker,Werder Bremen,1298
M. Grüll,Striker,Werder Bremen,1526
C. Wilson,Striker,West Ham United,1070
D. Pejčinović,Striker,Wolfsburg,936
M. Amoura,Striker,Wolfsburg,1412
T. Arokodare,Striker,Wolverhampton,1171
Hwang Hee-Chan,Striker,Wolverhampton,1234
